date,oblast,alert_hours,year,month,weekday
2022-03-26,Ivano-Frankivska oblast,5,2022,3,Saturday
2022-03-26,Kharkivska oblast,16,2022,3,Saturday
2022-03-26,Khersonska oblast,0,2022,3,Saturday
2022-03-26,Khmelnytska oblast,6,2022,3,Saturday
2022-03-26,Kirovohradska oblast,9,2022,3,Saturday
2022-03-26,Kyiv City,11,2022,3,Saturday
2022-03-26,Kyivska oblast,11,2022,3,Saturday
2022-03-26,Lvivska oblast,6,2022,3,Saturday
2022-03-26,Mykolaivska oblast,5,2022,3,Saturday
2022-03-26,Odeska oblast,5,2022,3,Saturday
2022-03-26,Poltavska oblast,8,2022,3,Saturday
2022-03-26,Rivnenska oblast,6,2022,3,Saturday
2022-03-26,Sumska oblast,9,2022,3,Saturday
2022-03-26,Ternopilska oblast,6,2022,3,Saturday
2022-03-26,Vinnytska oblast,6,2022,3,Saturday
2022-03-26,Volynska oblast,6,2022,3,Saturday
2022-03-26,Zakarpatska oblast,6,2022,3,Saturday
2022-03-26,Zaporizka oblast,10,2022,3,Saturday
2022-03-26,Zhytomyrska oblast,8,2022,3,Saturday
2022-03-27,Cherkaska oblast,3,2022,3,Sunday
2022-03-27,Chernihivska oblast,7,2022,3,Sunday
2022-03-27,Chernivetska oblast,1,2022,3,Sunday
2022-03-27,Dnipropetrovska oblast,9,2022,3,Sunday
2022-03-27,Donetska oblast,11,2022,3,Sunday
2022-03-27,Ivano-Frankivska oblast,2,2022,3,Sunday
2022-03-27,Kharkivska oblast,7,2022,3,Sunday
2022-03-27,Khersonska oblast,2,2022,3,Sunday
2022-03-27,Khmelnytska oblast,2,2022,3,Sunday
2022-03-27,Kirovohradska oblast,3,2022,3,Sunday
2022-03-27,Kyiv City,8,2022,3,Sunday
2022-03-27,Kyivska oblast,8,2022,3,Sunday
2022-03-27,Lvivska oblast,3,2022,3,Sunday
2022-03-27,Mykolaivska oblast,4,2022,3,Sunday
2022-03-27,Odeska oblast,5,2022,3,Sunday
2022-03-27,Poltavska oblast,6,2022,3,Sunday
2022-03-27,Rivnenska oblast,2,2022,3,Sunday
2022-03-27,Sumska oblast,1,2022,3,Sunday
2022-03-27,Ternopilska oblast,2,2022,3,Sunday
2022-03-27,Vinnytska oblast,3,2022,3,Sunday
2022-03-27,Volynska oblast,1,2022,3,Sunday
2022-03-27,Zakarpatska oblast,1,2022,3,Sunday
2022-03-27,Zaporizka oblast,10,2022,3,Sunday
2022-03-27,Zhytomyrska oblast,11,2022,3,Sunday
2022-03-28,Cherkaska oblast,3,2022,3,Monday
2022-03-28,Chernihivska oblast,18,2022,3,Monday
2022-03-28,Chernivetska oblast,1,2022,3,Monday
2022-03-28,Dnipropetrovska oblast,4,2022,3,Monday
2022-03-28,Donetska oblast,10,2022,3,Monday
2022-03-28,Ivano-Frankivska oblast,2,2022,3,Monday
2022-03-28,Kharkivska oblast,12,2022,3,Monday
2022-03-28,Khersonska oblast,1,2022,3,Monday
2022-03-28,Khmelnytska oblast,2,2022,3,Monday
2022-03-28,Kirovohradska oblast,3,2022,3,Monday
2022-03-28,Kyiv City,13,2022,3,Monday
2022-03-28,Kyivska oblast,15,2022,3,Monday
2022-03-28,Lvivska oblast,4,2022,3,Monday
2022-03-28,Mykolaivska oblast,3,2022,3,Monday
2022-03-28,Odeska oblast,2,2022,3,Monday
2022-03-28,Poltavska oblast,5,2022,3,Monday
2022-03-28,Rivnenska oblast,5,2022,3,Monday
2022-03-28,Sumska oblast,3,2022,3,Monday
2022-03-28,Ternopilska oblast,5,2022,3,Monday
2022-03-28,Vinnytska oblast,3,2022,3,Monday
2022-03-28,Volynska oblast,5,2022,3,Monday
2022-03-28,Zakarpatska oblast,2,2022,3,Monday
2022-03-28,Zaporizka oblast,6,2022,3,Monday
2022-03-28,Zhytomyrska oblast,14,2022,3,Monday
2022-03-29,Cherkaska oblast,11,2022,3,Tuesday
